2019-11-04 15:31:15 - [Debug] Book Information{Name: 帝国边缘（帝国往事三部曲）, Author: [美]马娅·亚桑诺夫, AuthorIntroduction: , Press: 索·恩∣社会科学文献出版社, BriefIntroduction: , Translator: 朱邦芊, PageNum: 690, Price: 96.000000, ISBN: 9787520144551, DoubanScore: 7.200000, CommentNum: 20}
2019-11-04 15:31:16 - [Debug] Book Information{Name: 女王与苏丹, Author: [英] 杰里·布罗顿, AuthorIntroduction: , Press: 后浪丨民主与建设出版社, BriefIntroduction: , Translator: 张珉璐, PageNum: 408, Price: 0.000000, ISBN: 9787513925150, DoubanScore: 8.300000, CommentNum: 29}
2019-11-04 15:31:18 - [Debug] Book Information{Name: 奥斯曼帝国, Author: [英] 卡罗琳·芬克尔, AuthorIntroduction: , Press: 后浪丨民主与建设出版社, BriefIntroduction: , Translator: 邓伯宸, PageNum: 696, Price: 0.000000, ISBN: 9787513924283, DoubanScore: 8.500000, CommentNum: 80}
2019-11-04 15:31:19 - [Debug] Book Information{Name: 季风帝国, Author: [英]理查德·霍尔(Richar Hall), AuthorIntroduction: , Press: 后浪·汗青堂丨天津人民出版社, BriefIntroduction: , Translator: 陈乔一, PageNum: 576, Price: 0.000000, ISBN: 9787201143415, DoubanScore: 8.000000, CommentNum: 182}
2019-11-04 15:31:20 - [Debug] Book Information{Name: 四君主, Author: [英] 约翰·朱利叶斯·诺威奇, AuthorIntroduction: , Press: 后浪丨民主与建设出版社, BriefIntroduction: , Translator: 蔡雨玹, PageNum: 288, Price: 68.000000, ISBN: 9787513921886, DoubanScore: 7.900000, CommentNum: 216}
2019-11-04 15:31:20 - [Debug] Book Information{Name: , Author: , AuthorIntroduction: , Press: , BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: , DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:31:21 - [Debug] Book Information{Name: 四君主, Author: [英] 约翰·朱利叶斯·诺威奇, AuthorIntroduction: , Press: 后浪丨民主与建设出版社, BriefIntroduction: , Translator: 蔡雨玹, PageNum: 288, Price: 68.000000, ISBN: 9787513921886, DoubanScore: 7.900000, CommentNum: 216}
2019-11-04 15:31:23 - [Debug] Book Information{Name: 马其顿的亚历山大, Author: [英] 彼得·格林, AuthorIntroduction: , Press: 后浪丨民主与建设出版社, BriefIntroduction: , Translator: 詹瑜松, PageNum: 505, Price: 0.000000, ISBN: 9787513918428, DoubanScore: 8.600000, CommentNum: 314}
2019-11-04 15:31:23 - [Debug] Book Information{Name: 古典世界的战争, Author: [英] 约翰·沃利, AuthorIntroduction: , Press: 后浪丨江西人民出版社, BriefIntroduction: , Translator: 孟驰, PageNum: 224, Price: 0.000000, ISBN: 9787210097778, DoubanScore: 8.000000, CommentNum: 78}
2019-11-04 15:31:24 - [Debug] Book Information{Name: 帝国的边界, Author: [美]本杰明·亨利·艾萨克, AuthorIntroduction: , Press: 华东师范大学出版社, BriefIntroduction: , Translator: 欧阳旭东, PageNum: 712, Price: 0.000000, ISBN: 9787567574779, DoubanScore: 7.100000, CommentNum: 19}
2019-11-04 15:31:26 - [Debug] Book Information{Name: 罗马帝国的元老院, Author: [美]理查德·J.A.塔伯特, AuthorIntroduction: , Press: 华东师范大学出版社, BriefIntroduction: , Translator: 梁鸣雁, PageNum: 760, Price: 88.000000, ISBN: 9787567574786, DoubanScore: 6.600000, CommentNum: 21}
2019-11-04 15:31:27 - [Debug] Book Information{Name: 罗马革命, Author: 罗纳德·塞姆 (Ronald Syme), AuthorIntroduction: , Press: 商务印书馆, BriefIntroduction: , Translator: 吕厚量, PageNum: 775, Price: 0.000000, ISBN: 9787100121095, DoubanScore: 8.800000, CommentNum: 115}
2019-11-04 15:31:28 - [Debug] Book Information{Name: 罗马共和国政制, Author: [英]安德鲁·林托特, AuthorIntroduction: , Press: 商务印书馆, BriefIntroduction: , Translator: 晏绍祥, PageNum: 347, Price: 52.000000, ISBN: 9787100099912, DoubanScore: 7.800000, CommentNum: 23}
2019-11-04 15:31:29 - [Debug] Book Information{Name: 游牧考古学, Author: [澳]罗杰·克里布, AuthorIntroduction: , Press: 郑州大学出版社, BriefIntroduction: , Translator: 李莎, PageNum: 199, Price: 0.000000, ISBN: 9787564517168, DoubanScore: 6.900000, CommentNum: 14}
2019-11-04 15:31:30 - [Debug] Book Information{Name: 中国北方边疆地区的史前社会, Author: （以色列）吉迪, AuthorIntroduction: , Press: 中国社会科学出版社, BriefIntroduction: , Translator: 余静, PageNum: 220, Price: 0.000000, ISBN: 9787516106785, DoubanScore: 7.400000, CommentNum: 23}
2019-11-04 15:31:31 - [Debug] Book Information{Name: 动物考古学, Author: 瑞兹 (Elizabeth J.Reitz), AuthorIntroduction: , Press: 科学出版社, BriefIntroduction: , Translator: 维恩 (Elizabeth S.Wing), PageNum: 441, Price: 0.000000, ISBN: 9787030372925, DoubanScore: 7.600000, CommentNum: 17}
2019-11-04 15:31:31 - [Debug] Book Information{Name: Understanding Early Civilizations, Author: Bruce G. Trigger, AuthorIntroduction: , Press: CambridgeUniversityPress, BriefIntroduction: , Translator: , PageNum: 774, Price: 0.000000, ISBN: 9780521705455, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:31:32 - [Debug] Book Information{Name: 宴飨的故事, Author: 马丁·琼斯, AuthorIntroduction: , Press: 山东画报出版社, BriefIntroduction: , Translator: 陈雪香 译, PageNum: 0, Price: 0.000000, ISBN: 9787209047975, DoubanScore: 8.300000, CommentNum: 49}
2019-11-04 15:31:34 - [Debug] Book Information{Name: 吃, Author: (美)西德尼·W·明茨, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 林为正, PageNum: 153, Price: 0.000000, ISBN: 9787801489593, DoubanScore: 7.500000, CommentNum: 73}
2019-11-04 15:31:36 - [Debug] Book Information{Name: 餐桌礼仪, Author: 玛格丽特·维萨, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: 刘晓媛, PageNum: 329, Price: 0.000000, ISBN: 9787802252233, DoubanScore: 6.600000, CommentNum: 47}
2019-11-04 15:31:37 - [Debug] Book Information{Name: 维多利亚女王的秘密厨房, Author: 简·贝斯特·库克, AuthorIntroduction: , Press: 上海远东出版社, BriefIntroduction: , Translator: , PageNum: 149, Price: 0.000000, ISBN: 9787807062141, DoubanScore: 7.100000, CommentNum: 122}
2019-11-04 15:31:39 - [Debug] Book Information{Name: 德国老啤酒主义, Author: (日)大岛慎子/文, AuthorIntroduction: , Press: 上海远东出版社, BriefIntroduction: , Translator: (日)白田环/图, PageNum: 153, Price: 25.000000, ISBN: 9787807062127, DoubanScore: 7.200000, CommentNum: 95}
2019-11-04 15:31:40 - [Debug] Book Information{Name: 法兰西甜点地图, Author: [日] 伊藤文 著, AuthorIntroduction: , Press: 上海远东出版社, BriefIntroduction: , Translator: [日] 佐野智香 图, PageNum: 123, Price: 0.000000, ISBN: 9787807062134, DoubanScore: 7.300000, CommentNum: 85}
2019-11-04 15:31:41 - [Debug] Book Information{Name: 慢食-味覺藝術的巴黎筆記, Author: 謝忠道, AuthorIntroduction: , Press: 果實, BriefIntroduction: , Translator: , PageNum: 256, Price: 0.000000, ISBN: 9789867796387, DoubanScore: 7.200000, CommentNum: 41}
2019-11-04 15:31:42 - [Debug] Book Information{Name: 甜蜜日日．我愛果醬, Author: 五十嵐呂美, AuthorIntroduction: , Press: 布克文化出版事業部, BriefIntroduction: , Translator: 李淑芳, PageNum: 152, Price: 0.000000, ISBN: 9789867010162, DoubanScore: 8.000000, CommentNum: 33}
2019-11-04 15:31:43 - [Debug] Book Information{Name: Milly的京都私路, Author: Milly, AuthorIntroduction: , Press: 繆思, BriefIntroduction: , Translator: , PageNum: 0, Price: 340.000000, ISBN: 9789867399786, DoubanScore: 7.200000, CommentNum: 84}
